verb,factor1,factor2,group
сжечь pf,11.4073480608477,-16.5634991871334,1
ограничить pf,-23.9890798121824,-16.5447392352975,1
наметить pf,-13.166489715347,-16.5200784958596,1
сходить pf,3.46103962724294,-16.510012566028,1
прервать pf,28.0392062612081,-16.4686615239276,1
вырваться pf,58.5035308515071,-16.4318240196359,1
проехать pf,40.5910909724007,-16.3593473305227,1
зажать pf,2.13929120410472,-16.300705720398,1
настать pf,55.5661806890569,-16.2783568203104,1
подавить pf,-12.7352063022634,-16.2624680259547,1
зажечь pf,28.7435274138107,-16.2556541635966,1
обрести pf,39.7788951789785,-16.246323622525,1
расстаться pf,38.9963716938671,-16.1977540833982,1
вырвать pf,26.1097162422435,-16.166936381087,1
унести pf,42.1596930461314,-16.1602863924084,1
предъявить pf,9.71667460273825,-16.1141392746046,1
устроиться pf,50.0406262294737,-16.0974461668666,1
погрузить pf,-2.64561766877916,-16.0892541871169,1
вспомниться pf,62.2214958057448,-16.0786454223562,1
запустить pf,14.0513439366777,-16.0671371959608,1
свести pf,23.0897950474918,-15.9871395924819,1
прекратить pf,8.42730273969763,-15.9741899430247,1
подъехать pf,41.277969971772,-15.9730272001262,1
выбить pf,-1.9593455567521,-15.9433121859512,1
возрасти pf,25.2252569460734,-15.9165468153157,1
расширить pf,-6.83932748576958,-15.9114718579497,1
отменить pf,14.0181522485918,-15.903916581979,1
погладить pf,55.6244425390129,-15.8282081173477,1
вымыть pf,11.3300795322123,-15.7706237780615,1
столкнуться pf,47.8000162002056,-15.7697790054059,1
застраховать pf,-28.3730452194857,-15.7577345460752,1
поздороваться pf,52.5978635719221,-15.7400018766429,1
обречь pf,-20.9586358976711,-15.7391329574519,1
нахмуриться pf,60.6663726905856,-15.7152049382778,1
образовать pf,-14.5150279100252,-15.6632492603776,1
завалить pf,-5.19587839832335,-15.626585417988,1
предать pf,13.506920878415,-15.6044428714194,1
влюбить pf,-25.2561831469073,-15.58248571901,1
забросить pf,2.45361187658911,-15.5452160440208,1
вскрикнуть pf,60.4782963355541,-15.5228752761622,1
наделить pf,-9.80871852905198,-15.5165873428041,1
опоздать pf,34.4666675065766,-15.4930818961098,1
зафиксировать pf,-16.7709376530239,-15.4690848684007,1
видать ipf,37.4078822279265,-15.3925654259621,1
отразить pf,-16.1827400496183,-15.3710256450933,1
усесться pf,55.789705404183,-15.3181485077567,1
продумать pf,-9.81309906502176,-15.3042307936558,1
поднести pf,42.6846485467055,-15.2865882343687,1
оправдать pf,-1.1782504650916,-15.2836295767483,1
увеличить pf,-8.80707913894369,-15.2734831382209,1
пострадать pf,19.2261592047677,-15.1987141108675,1
выложить pf,14.9869350797693,-15.1917832879096,1
уступить pf,23.8318983191725,-15.1735257343573,1
