lemma,form,frequency
вести,ipf,fin_imper_act,32
вести,ipf,fin_fut_act,24
вести,ipf,ger_praes_act,10
вести,ipf,partcp_praet_act,6
вести,ipf,partcp_praes_pass,4
вести,ipf,fin_fut_indic_act,3
вести,ipf,partcp_praet_pass,2
вести,ipf,partcp_act,2
вести,ipf,fin_praet_indic_med,2
вести,ipf,fin_indic_act,1
вести,pf,inf_act,1
ветвиться,ipf,fin_praes_indic_med,2
ветвиться,ipf,inf_med,2
ветвиться,ipf,partcp_praes_med,2
ветвиться,ipf,fin_praet_indic_med,1
ветвиться,ipf,partcp_praet_med,1
ветшать,ipf,fin_praet_indic_act,2
ветшать,ipf,partcp_praes_act,1
ветшать,ipf,fin_praes_indic_act,1
вечереть,ipf,fin_praet_indic_act,4
вечереть,ipf,fin_praes_indic_act,3
вечереть,ipf,inf_act,1
вечереть,ipf,partcp_praes_act,1
вечерять,ipf,inf_act,1
вешать,ipf,fin_praes_indic_act,18
вешать,ipf,inf_act,17
вешать,ipf,fin_praet_indic_act,16
вешать,ipf,fin_imper_act,7
вешать,ipf,ger_praes_act,3
вешать,ipf,fin_fut_act,1
вешаться,ipf,fin_praet_indic_med,7
вешаться,ipf,fin_praes_indic_med,6
вешаться,ipf,fin_imper_med,4
вешаться,ipf,inf_med,3
вещать,ipf,fin_praet_indic_act,12
вещать,ipf,fin_praes_indic_act,9
вещать,ipf,inf_act,3
вещать,ipf,partcp_praes_act,3
вещать,ipf,fin_fut_act,1
веять,ipf,fin_praet_indic_act,23
веять,ipf,fin_praes_indic_act,10
веять,ipf,partcp_praes_act,3
веять,ipf,fin_fut_act,1
вжать,pf,ger_praet_act,1
вжаться,pf,fin_praet_indic_med,6
вживаться,ipf,inf_med,2
вживаться,ipf,fin_praes_indic_med,2
вживаться,ipf,fin_praet_indic_med,2
вживаться,ipf,fin_fut_med,1
вживить,pf,inf_act,2
вживить,pf,partcp_praet_pass,1
вживить,pf,fin_praet_indic_act,1
вживлять,ipf,ger_praes_act,1
вжиматься,ipf,fin_praet_indic_med,3
вжиматься,ipf,ger_praes_med,2
вжиться,pf,inf_med,1
взбадривать,ipf,fin_praes_indic_act,3
взбаламутить,pf,partcp_praet_pass,2
взбаламутить,pf,fin_praet_indic_act,1
взбалтывать,ipf,inf_act,1
взбалтывать,ipf,fin_praes_indic_act,1
взбегать,ipf,fin_praet_indic_act,3
взбегать,ipf,fin_praes_indic_act,3
взбегать,ipf,partcp_praet_act,1
взбежать,pf,fin_praet_indic_act,8
взбежать,pf,inf_act,2
взбесить,pf,partcp_praet_pass,7
взбесить,pf,fin_praet_indic_act,5
взбесить,pf,fin_fut_pass,2
взбеситься,pf,fin_praet_indic_med,9
взбеситься,pf,partcp_praet_med,7
взбеситься,pf,fin_fut_indic_med,1
взбеситься,pf,inf_med,1
взбивать,ipf,fin_praet_indic_act,3
взбивать,ipf,fin_praes_indic_act,2
взбивать,ipf,inf_act,1
взбивать,ipf,ger_praes_act,1
взбираться,ipf,fin_praet_indic_med,12
взбираться,ipf,inf_med,10
взбираться,ipf,fin_praes_indic_med,6
взбираться,ipf,ger_praes_med,3
взбить,pf,partcp_praet_pass,21
взбить,pf,inf_act,6
взбить,pf,fin_praet_indic_act,4
взбить,pf,fin_fut_pass,2
взбить,pf,fin_imper_act,1
взбить,pf,ger_praet_act,1
взбодрить,pf,fin_praet_indic_act,3
взбодрить,pf,inf_act,3
взбодрить,pf,partcp_praet_pass,2
взбодриться,pf,fin_praet_indic_med,2
взбодриться,pf,inf_med,1
взбодриться,pf,partcp_praet_med,1
взбодриться,pf,ger_praet_med,1
взболтать,pf,inf_act,2
взболтать,pf,partcp_praet_pass,1
взболтнуть,pf,fin_praet_indic_act,2
взбрести,pf,fin_praet_indic_act,2
взбрести,pf,inf_act,1
взбрести,pf,fin_fut_indic_act,1
взбросить,pf,partcp_praet_pass,1
взбрызгивать,ipf,ger_praes_act,1
взбрызнуть,pf,fin_praet_indic_act,1
взбрыкивать,ipf,fin_praet_indic_act,1
взбрыкнуть,pf,fin_praet_indic_act,2
взбрыкнуть,pf,inf_act,1
взбудоражить,pf,partcp_praet_pass,7
взбудоражить,pf,fin_praet_indic_act,3
взбудоражить,pf,fin_fut_pass,3
взбудоражить,pf,partcp_praet_act,2
взбудоражить,pf,inf_act,1
взбухать,ipf,fin_praes_indic_act,1
взбухать,ipf,partcp_praes_act,1
взбухнуть,pf,partcp_praet_act,1
взбухнуть,pf,fin_praet_indic_act,1
взваливать,ipf,fin_praes_indic_act,2
взваливать,ipf,ger_praes_act,1
взвалить,pf,fin_praet_indic_act,12
взвалить,pf,inf_act,6
взвалить,pf,fin_fut_indic_act,3
взвалить,pf,partcp_praet_act,2
взвалить,pf,ger_praet_act,2
взвесить,pf,partcp_praet_pass,24
взвесить,pf,fin_praet_indic_act,9
взвесить,pf,inf_act,8
взвесить,pf,ger_praet_act,4
взвесить,pf,fin_imper_act,3
взвесить,pf,fin_fut_indic_act,2
взвести,pf,partcp_praet_pass,3
взвести,pf,fin_praet_indic_act,2
взвести,pf,inf_act,1
взвести,pf,fin_fut_pass,1
взвешивать,ipf,fin_praet_indic_act,9
взвешивать,ipf,ger_praes_act,5
взвешивать,ipf,inf_act,4
взвешивать,ipf,partcp_praes_pass,3
взвешивать,ipf,fin_praes_indic_act,3
взвешиваться,ipf,fin_praet_indic_med,1
взвивать,ipf,fin_praes_indic_act,1
взвиваться,ipf,ger_praes_med,1
взвиваться,ipf,fin_praes_indic_med,1
взвизгивать,ipf,fin_praet_indic_act,8
взвизгивать,ipf,partcp_praes_act,2
взвизгивать,ipf,ger_praes_act,1
взвизгивать,ipf,fin_praes_indic_act,1
взвизгнуть,pf,fin_praet_indic_act,23
взвизгнуть,pf,ger_praet_act,2
взвизгнуть,pf,fin_fut_indic_act,2
взвинтить,pf,partcp_praet_pass,6
взвинтить,pf,inf_act,3
взвинтить,pf,fin_praet_indic_act,1
